word,count
weddings,2795
wed,595
weds,517
miss,260
married,258
david,238
michael,212
bride,192
jr,192
john,188
marries,177
ms,161
robert,159
elizabeth,150
becomes,131
dr,124
susan,123
james,121
william,121
mr,117
andrew,115
peter,108
jennifer,105
amy,103
daniel,100
sarah,99
thomas,96
lisa,96
mary,92
mark,90
steven,82
jeffrey,79
paul,79
scott,77
richard,76
ann,75
jonathan,74
matthew,74
eric,71
laura,70
christopher,70
stephen,63
anne,62
nancy,56
charles,55
katherine,53
karen,52
lawyer,50
ellen,50
jane,49
deborah,48
miller,48
edward,48
cohen,47
smith,47
melissa,46
jason,46
julie,46
lee,45
brian,45
patricia,45
kevin,45
adam,45
iii,45
joseph,43
pamela,43
catherine,42
are,42
marc,42
gregory,42
rebecca,38
alexandra,37
jessica,36
leslie,36
michelle,36
lewis,35
margaret,35
rachel,35
stephanie,35
suzanne,35
wedding,35
andrea,34
benjamin,34
beth,34
george,34
douglas,34
emily,34
allison,33
victoria,33
sara,32
anthony,32
nicholas,32
kenneth,32
ross,31
robin,31
kathleen,31
martin,30
barbara,30
brown,30
julia,30
maria,30
joshua,30
kathryn,30
alison,30
alexander,30
alan,29
nicole,29
williams,29
amanda,29
lynn,28
jones,28
jill,28
davis,28
wendy,28
bruce,28
craig,27
kelly,27
caroline,26
ryan,26
carol,26
wilson,26
de,26
murphy,26
diane,26
johnson,26
timothy,26
lauren,26
christina,26
samuel,25
gordon,25
christine,25
marry,25
kimberly,25
debra,25
dana,24
tracy,24
friedman,24
lori,23
philip,23
has,23
rose,23
lawrence,23
nina,23
judith,23
levine,23
todd,22
taylor,22
frank,22
carolyn,22
jacqueline,22
linda,22
white,22
howard,21
green,21
schwartz,21
diana,21
keith,20
jay,20
henry,20
patrick,20
young,19
siegel,19
stern,19
student,19
shapiro,19
bradley,19
donald,19
meredith,19
teacher,19
sandra,19
li,18
kim,18
megan,18
alice,18
stacey,18
evan,18
justin,17
gail,17
heather,17
kaplan,17
bernstein,17
goldstein,17
arthur,17
jean,17
jeremy,17
allen,17
ruth,17
laurie,17
sullivan,17
banker,16
seth,16
holly,16
thompson,16
joan,16
neil,16
cynthia,16
virginia,16
russell,16
kate,16
greenberg,16
