objectID,title,brightness,reds,oranges_browns,yellows,greens,blues,violets,neutrals
436532,Self-Portrait with a Straw Hat (obverse: The Potato Peeler),146.2,0.0094,0.7185,0.1506,0.0026,0.0027,0.0006,0.1156
437397,Self-Portrait,32.0,0.008,0.7173,0.001,0.0,0.0,0.0,0.2737
436986,Portrait of a Woman,68.6,0.0144,0.6494,0.0124,0.0011,0.0015,0.0028,0.3183
435896,Portrait of a Carthusian,49.0,0.1482,0.5932,0.0064,0.0001,0.0001,0.0005,0.2515
436896,Portrait of a Woman with a Man at a Casement,60.4,0.2211,0.7013,0.0142,0.0016,0.0,0.0001,0.0617
436544,"Tiburcio Pérez y Cuervo (1785/86–1841), the Architect",35.9,0.0065,0.0806,0.0445,0.0334,0.011,0.0003,0.8237
436295,Portrait of a Woman,72.4,0.0026,0.544,0.1124,0.0008,0.0,0.0,0.3402
436623,Portrait of a Man,34.6,0.0026,0.5112,0.0231,0.0005,0.0058,0.0001,0.4565
435802,Portrait of a Young Man,43.9,0.0804,0.1904,0.2662,0.0065,0.0103,0.0009,0.4454
435581,Portrait of a Young Man,37.9,0.0046,0.3835,0.0041,0.0001,0.0,0.0,0.6077
435944,Portrait of a Man with Gloves,18.7,0.0096,0.136,0.0704,0.0171,0.0,0.0,0.7668
437390,Portrait of a Woman,28.1,0.0015,0.1602,0.0474,0.0005,0.0,0.0,0.7903
436658,Hermann von Wedigh III (died 1560),47.9,0.0612,0.1062,0.0476,0.0732,0.3391,0.0035,0.3692
437530,"Portrait of a Man, Possibly an Architect or Geographer",39.0,0.0005,0.2806,0.1033,0.0051,0.0,0.0,0.6105
437874,"Portrait of a Man, Possibly a Self-Portrait",61.0,0.0072,0.8013,0.018,0.0003,0.0,0.0,0.1733
436840,"Self-Portrait with Two Pupils, Marie Gabrielle Capet (1761–1818) and Marie Margu",64.7,0.0121,0.6487,0.0946,0.0084,0.0,0.0,0.2361
437055,Portrait of an Old Man,40.1,0.1472,0.5411,0.0013,0.0002,0.0001,0.0001,0.3099
437510,Portrait of a Man,80.4,0.3142,0.3366,0.03,0.0013,0.0572,0.0,0.2607
