objectID,title,artist,date,file,source,license
436532,Self-Portrait with a Straw Hat (obverse: The Potato Peeler),Vincent van Gogh,1887,met/436532.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1502_cropped2.jpg,CC0
437397,Self-Portrait,Rembrandt (Rembrandt van Rijn),1660,met/437397.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16323-001.jpg,CC0
436986,Portrait of a Woman,Quinten Massys,ca. 1520,met/436986.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1461.jpg,CC0
435896,Portrait of a Carthusian,Petrus Christus,1446,met/435896.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-44361-001.jpg,CC0
436896,Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,ca. 1440,met/436896.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP159891.jpg,CC0
436544,"Tiburcio Pérez y Cuervo (1785/86–1841), the Architect",Goya (Francisco de Goya y Lucientes),1820,met/436544.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP295718.jpg,CC0
436295,Portrait of a Woman,Henri Fantin-Latour,1885,met/436295.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP265190.jpg,CC0
436623,Portrait of a Man,Frans Hals,early 1650s,met/436623.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-44327-001.jpg,CC0
435802,Portrait of a Young Man,Bronzino (Agnolo di Cosimo di Mariano),1530s,met/435802.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-011.jpg,CC0
435581,Portrait of a Young Man,Antonello da Messina (Antonello di Giovanni d'Antonio),ca. 1470,met/435581.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP120669.jpg,CC0
435944,Portrait of a Man with Gloves,Corneille de Lyon,ca. 1535,met/435944.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-13588-001.jpg,CC0
437390,Portrait of a Woman,Rembrandt (Rembrandt van Rijn),1633,met/437390.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP145913.jpg,CC0
436658,Hermann von Wedigh III (died 1560),Hans Holbein the Younger,1532,met/436658.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP164836.jpg,CC0
437530,"Portrait of a Man, Possibly an Architect or Geographer",Peter Paul Rubens,1597,met/437530.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT8854.jpg,CC0
437874,"Portrait of a Man, Possibly a Self-Portrait",Velázquez (Diego Rodríguez de Silva y Velázquez),ca. 1635,met/437874.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP221248.jpg,CC0
436840,"Self-Portrait with Two Pupils, Marie Gabrielle Capet (1761–1818) and Marie Margu",Adélaïde Labille-Guiard,1785,met/436840.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP320103.jpg,CC0
437055,Portrait of an Old Man,Hans Memling,ca. 1475,met/437055.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP336526.jpg,CC0
437510,Portrait of a Man,Cosimo Rosselli,ca. 1481–82,met/437510.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17311-001.jpg,CC0
